pid,label,agent,_date,recnum,catalogrecord,collectionnum,worktype,_tags,originalwork,citeas,repository,archcoll,box,folder,format,rights,order,layout,collection,thumbnail,full,bibliography,collectingprogram,materials,description,measurement
obj1,Fragment in Greek from the Gospel of Matthew 21:1-19 describing the entrance of Jesus into Jerusalem (front),Unknown,1100-1300,RMC2019_0182,4916228,6532,"Medieval
fragments","Bible
Bible--Manuscripts
Bible. New Testament. Greek--Versions",Medieval Manuscript Fragments #6532. Division of Rare and Manuscript Collections Cornell University Library. n.d.,Medieval Manuscript Fragments #6532. Division of Rare and Manuscript Collections Cornell University Library.,Division of Rare and Manuscript Collections_Cornell University Library,Medieval manuscript fragments,Mapcase-B-13,Mapcase Folder 1,image/jpeg,Presumed to be in the public domain because of creation date.,00,medfrag_item,medievalfragments,/img/derivatives/simple/obj1/thumbnail.jpg,/img/derivatives/simple/obj1/fullwidth.jpg,"","","","",""
obj2,Fragment in Greek from the Gospel of Matthew 21:1-19 describing the entrance of Jesus into Jerusalem (back),Unknown,1100-1300,RMC2019_0183,4916228,6532,"Medieval
fragments","Bible
Bible--Manuscripts
Bible. New Testament. Greek--Versions",Medieval Manuscript Fragments #6532. Division of Rare and Manuscript Collections Cornell University Library. n.d.,Medieval Manuscript Fragments #6532. Division of Rare and Manuscript Collections Cornell University Library.,Division of Rare and Manuscript Collections_Cornell University Library,Medieval manuscript fragments,Mapcase-B-13,Mapcase Folder 1,image/jpeg,Presumed to be in the public domain because of creation date.,01,medfrag_item,medievalfragments,/img/derivatives/simple/obj2/thumbnail.jpg,/img/derivatives/simple/obj2/fullwidth.jpg,"","","","",""
obj3,Parchment fragment on f. 200v,"",1323-1350,RMC2009_0163,3978609,"",parchment,Catholic Church --Liturgy --Texts --Manuscripts,Ordo manualis [Ferrariensis Ecclesiae],"",Division of Rare and Manuscript Collections_Cornell University Library,"","","",image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",02,medfrag_item,medievalfragments,/img/derivatives/simple/obj3/thumbnail.jpg,/img/derivatives/simple/obj3/fullwidth.jpg,f. 200v,Manuscripts,"","",""
obj4,Parchment fragment on f. 239v,"",1323-1350,RMC2009_0165,3978609,"",parchment,Catholic Church --Liturgy --Texts --Manuscripts,Ordo manualis [Ferrariensis Ecclesiae],"",Division of Rare and Manuscript Collections_Cornell University Library,"","","",image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",03,medfrag_item,medievalfragments,/img/derivatives/simple/obj4/thumbnail.jpg,/img/derivatives/simple/obj4/fullwidth.jpg,f. 239v,Manuscripts,"","",""
obj5,Parchment fragment on f. 238v,"",1323-1350,RMC2009_0164,3978609,"",parchment,Catholic Church --Liturgy --Texts --Manuscripts,Ordo manualis [Ferrariensis Ecclesiae],"",Division of Rare and Manuscript Collections_Cornell University Library,"","","",image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",04,medfrag_item,medievalfragments,/img/derivatives/simple/obj5/thumbnail.jpg,/img/derivatives/simple/obj5/fullwidth.jpg,f. 238v,Manuscripts,"","",""
obj6,Parchment fragment on f. 167,"",1323-1350,RMC2009_0166,3978609,"",parchment,Catholic Church --Liturgy --Texts --Manuscripts,Ordo manualis [Ferrariensis Ecclesiae],"",Division of Rare and Manuscript Collections_Cornell University Library,"","","",image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",05,medfrag_item,medievalfragments,/img/derivatives/simple/obj6/thumbnail.jpg,/img/derivatives/simple/obj6/fullwidth.jpg,f. 167,Manuscripts,"","",""
obj7,Parchment fragment on f. 172v,"",1323-1350,RMC2009_0162,3978609,"",parchment,Catholic Church --Liturgy --Texts --Manuscripts,Ordo manualis [Ferrariensis Ecclesiae],"",Division of Rare and Manuscript Collections_Cornell University Library,"","","",image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",06,medfrag_item,medievalfragments,/img/derivatives/simple/obj7/thumbnail.jpg,/img/derivatives/simple/obj7/fullwidth.jpg,f. 172v,Manuscripts,"","",""
obj8,Parchment fragment on f. 64v,"",1323-1350,RMC2009_0156,3978609,"",parchment,Catholic Church --Liturgy --Texts --Manuscripts,Ordo manualis [Ferrariensis Ecclesiae],"",Division of Rare and Manuscript Collections_Cornell University Library,"","","",image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",07,medfrag_item,medievalfragments,/img/derivatives/simple/obj8/thumbnail.jpg,/img/derivatives/simple/obj8/fullwidth.jpg,f. 64v,Manuscripts,"","",""
obj9,Parchment fragment on f. 166,"",1323-1350,RMC2009_0160,3978609,"",parchment,Catholic Church --Liturgy --Texts --Manuscripts,Ordo manualis [Ferrariensis Ecclesiae],"",Division of Rare and Manuscript Collections_Cornell University Library,"","","",image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",08,medfrag_item,medievalfragments,/img/derivatives/simple/obj9/thumbnail.jpg,/img/derivatives/simple/obj9/fullwidth.jpg,f. 166,Manuscripts,"","",""
obj10,Parchment fragment on f. 66v,"",1323-1350,RMC2009_0158,3978609,"",parchment,Catholic Church --Liturgy --Texts --Manuscripts,Ordo manualis [Ferrariensis Ecclesiae],"",Division of Rare and Manuscript Collections_Cornell University Library,"","","",image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",09,medfrag_item,medievalfragments,/img/derivatives/simple/obj10/thumbnail.jpg,/img/derivatives/simple/obj10/fullwidth.jpg,f. 66v,Manuscripts,"","",""
